,NumPy,NumPy,NumPy,PyTorch,PyTorch,PyTorch,JAX,JAX,JAX
,NaiveSol,BasicFPRev,FPRev,NaiveSol,BasicFPRev,FPRev,NaiveSol,BasicFPRev,FPRev
4,0.005663358996389434,0.0001045368961058557,8.369871065951883e-05,0.019313554291147738,0.0006903893023263663,0.00012268112041056157,0.01672240809421055,0.00025662279804237185,0.00020672650425694882
5,0.0067515079863369465,0.0001249722088687122,9.457850828766822e-05,0.03427928469609469,0.0005143457150552422,0.00014951039920561016,0.026383770705433563,0.00043867488857358695,0.00024455280508846046
6,0.006983682996360585,0.0001508955960161984,0.00011047720327042043,0.14266042149974964,0.0005321973992977291,0.00017646800843067466,0.11219887028564698,0.00047473859740421176,0.0003032223030459136
7,0.007548521098215133,0.00017940140096470714,0.00014191690715961158,1.7598465542076156,0.0004504439828451723,0.00022130931029096246,1.6658401668071747,0.0008539641043171286,0.00037433700053952635
8,1.7900957421166823,0.00021255708998069167,0.00020366429816931486,,0.0005556112970225513,0.000234697904670611,,0.0007884143094997853,0.00047863380168564615
16,,0.000559734704438597,0.000370071193901822,,0.0018409308046102523,0.0006678026053123176,,0.002699420799035579,0.001070901594357565
32,,0.001616282999748364,0.000667201797477901,,0.006660237396135926,0.0012944558984600008,,0.009934428002452478,0.0021601790038403125
64,,0.005676222103647888,0.001313609688077122,,0.024789988104021176,0.0030235967016778885,,0.03953006580704823,0.004817789298249409
128,,0.020576692197937518,0.0025418177072424443,,0.0973258301964961,0.005936284206109121,,0.15866959751001558,0.010774549405323342
256,,0.07454394769156351,0.0052964875067118555,,0.380158023693366,0.012010236299829558,,0.6654099101026076,0.024153834098251538
512,,0.3104042623133864,0.011522925604367629,,1.5474634418962523,0.023075257404707374,,2.6278029887005685,0.05353158850921318
1024,,1.360497255489463,0.024218361300881952,,,0.05146089980262332,,,0.1537805777916219
2048,,,0.053559262299677356,,,0.10810128809534944,,,0.32670477429637684
4096,,,0.12028283788822591,,,0.2327154259197414,,,0.8183611476095394
8192,,,0.29136084909550847,,,0.46560235471697525,,,1.9832056400948204
16384,,,0.7913793934043497,,,1.030874007404782,,,
32768,,,2.3579452902136837,,,,,,
