,Dot,Dot,GEMV,GEMV,GEMM,GEMM
,BasicFPRev,FPRev,BasicFPRev,FPRev,BasicFPRev,FPRev
4,0.00010461109923198819,8.355790632776915e-05,9.924210608005523e-05,8.922370034269989e-05,0.0001666347961872816,0.00011503490968607366
8,0.00022067170357331634,0.00015889510395936668,0.00021934689721092582,0.00016079560155048966,0.0004296179802622646,0.00027175439754500985
16,0.0005773638957180082,0.0003021875978447497,0.0005713739898055792,0.0003207586065400392,0.0011428130033891647,0.0005161734879948199
32,0.001680500101065263,0.0007165991875808686,0.0017373612092342228,0.0007205201021861285,0.0037068738020025194,0.0010266578989103436
64,0.005588131997501478,0.0015789183904416858,0.005983620305778458,0.0014643660106230527,0.014457381999818608,0.0018911107792519033
128,0.019149894890142606,0.0032663877005688845,0.08334538721828721,0.0062196164100896565,0.5873705773905386,0.011628666293108835
256,0.07257536231190898,0.006162955408217386,0.8016831727931276,0.017340450308984144,5.293008228408871,0.04461345070158131
512,0.3017863374960143,0.0124640497029759,3.7531081988068764,0.03649740881519392,,0.34581135731423274
1024,1.3458884510037024,0.024946414009900764,,0.0946686388051603,,3.403530230006436
2048,,0.04923052368685603,,0.3340430712036323,,
4096,,0.0999591906031128,,12.786524449690479,,
8192,,0.20929719509440475,,,,
16384,,0.4535415066056885,,,,
32768,,1.0555224144947715,,,,
