,CPU,CPU,GPU,GPU
,BasicFPRev,FPRev,BasicFPRev,FPRev
4,0.00027333421749062834,0.00016231620684266091,0.00060349740087986,0.00041137749794870613
8,0.0008336338971275837,0.00029969150782562794,0.002128584810998291,0.0008186674967873842
16,0.0028599922952707857,0.0005805972090456635,0.007173799403244629,0.002018561394652352
32,0.011252174305263906,0.0011730351019650699,0.02719401119975373,0.004785320197697729
64,0.14228405819740148,0.004751021502306685,0.1083160360052716,0.009614729398163036
128,0.586958376102848,0.009375387313775718,0.4336498802062124,0.019079911796143278
256,3.2527855431020725,0.030024337698705494,1.9988451256940607,0.042562211712356655
512,,0.2296460593934171,,0.06119192840415053
1024,,2.0803402889054268,,0.48484267049934715
2048,,,,4.080748912109994
